sectionNumber,title,label,remark
1,Introduction,,
2,PRELIMINARIES
3,PROBLEM DEFINITION
3.1,View Processing Cost,Assess[Score][H],"Evaluating those metrics incurs the following processing costs"
3.2,Search Strategy Overview
4,SEARCH SCHEMES:HORIZONTAL SEARCH,Recommend[Data][Opt],"At a high level, the objective of horizontal search is to find the optimal binning for a given non-binned view"
5,SEARCH SCHEMES:VERTICAL SEARCH,Recommend[Data][Opt],"Recall that the goal of this work is to recommend the top-k visualizations that maximize our multi-objective utility function."
6,EXPERIMENTAL TESTBED
7,EXPERIMENTAL EVALUATION
8,RELATED WORK
9,CONCLUSIONS AND FUTURE WORK
