sectionNumber,title,label,remark
1,Introduction,,
2,Background,,
2.1,Exploratory Visual Analysis,,
2.2,Visual Specification,,
2.3,Visualization Recommendation,,
2.4,Proactive Computation alongside Visualization,,
3,Design Rationale: Proactive Analytics,,
4,The DataSite System,,
4.1,Client-Side: Visualization Interface,
4.2,Server-Side: Computation Engine,Recommend[Hybrid]|Recommend[Data][Opt]|Recommend[Encoding][Opt],"Example computational modules with corresponding data and chart types. We have currently used algorithms working with one or two data attributes in our computation engine."
4.3,Scheduling Automatic Analysis,,
4.4,Implementation,,
5,Usage Scenario,,
6,Evaluation Overview,,
7,User Study 1: Comparison with PoleStar,,
8,User Study 2: Comparison with Voyager 2,,
9,Discussion,,
9.1,Explaining the Results,,
9.2,Limitations,,
9.3,Top-Down vs. Bottom-Up Data Analysis,,
10,Conclusion and Future Work,,
