sectionNumber,title,label,remark
1,Introduction,,
2,RELATED WORK
2.1,Visualization Creation Tools
2.2,Chart Recognition from Images
3,SCHEMA
3.1,Conventional Workflow,
3.2,LADV Workflow
3.3,Design Considerations
4,LADV
5,DATA COLLECTION,DatasetCollection
5.1,Annotation
5.2,Computer-Generated Dashboard Images
5.3,Sketched Dashboard Images
6,APPROACH
6.1,Chart Recognition,ReverseEngineering[ChartRecognition]|Feature[Learning][Graphics],"Faster R-CNN network"
6.2,Color Palette Recommendation,Recommend[Encoding][Opt],"uses predefined color palettes for sketches"
6.3,Layout Optimization,Recommend[Encoding][Opt],"In adjusting the layout, we follow the design regulations. [Note: the term optimization hereby stands for improvement instead of a mathmeatical optimization problem"
6.4,Implementation
7,EXPERIMENTS
7.1,Model Performance
7.2,User Study: LADV Results
7.3,User Study: LADV Workflow
7.4,Review in Real Scenarios
8,DISCUSSIONS
8.1,Template-Based vs. Free-Form Images
8.2,Limitations
8.3,Future Improvements
9,CONCLUSIONS
